nail 10,transect,point,x,y,z
0.00333,0,0,-29.97951178,100.1661886,-6.526029197
0.00333,0,1,-29.97980375,100.1631724,-6.475022948
0.00333,0,2,-29.98009571,100.1601562,-6.474635925
0.00333,0,3,-29.98038768,100.15714,-6.474635925
0.00333,0,4,-29.98067964,100.1541238,-6.472029454
0.00333,0,5,-29.98097161,100.1511076,-6.44488912
0.00333,0,6,-29.98126357,100.1480914,-6.436980563
0.00333,0,7,-29.98155554,100.1450751,-6.429600465
0.00333,0,8,-29.9818475,100.1420589,-6.429600465
0.00333,0,9,-29.98213947,100.1390427,-6.433713176
0.00333,0,10,-29.98243143,100.1360265,-6.434857643
0.00333,0,11,-29.9827234,100.1330103,-6.435441734
0.00333,0,12,-29.98301537,100.1299941,-6.434066341
0.00333,0,13,-29.98330733,100.1269779,-6.434066341
0.00333,0,14,-29.9835993,100.1239617,-6.44261364
0.00333,0,15,-29.98389126,100.1209455,-6.43862448
0.00333,0,16,-29.98418323,100.1179293,-6.435229136
0.00333,0,17,-29.98447519,100.1149131,-6.437115666
0.00333,0,18,-29.98476716,100.1118969,-6.439610495
0.00333,0,19,-29.98505912,100.1088807,-6.439157259
0.00333,0,20,-29.98535109,100.1058645,-6.438825987
0.00333,0,21,-29.98564305,100.1028483,-6.449882477
0.00333,0,22,-29.98593502,100.0998321,-6.450568867
0.00333,0,23,-29.98622698,100.0968159,-6.451385636
0.00333,0,24,-29.98651895,100.0937997,-6.489619982
0.00333,0,25,-29.98681091,100.0907835,-6.490924792
0.00333,0,26,-29.98710288,100.0877673,-6.48963413
0.00333,0,27,-29.98739485,100.084751,-6.489419413
0.00333,0,28,-29.98768681,100.0817348,-6.487850034
0.00333,0,29,-29.98797878,100.0787186,-6.487124122
0.00333,0,30,-29.98827074,100.0757024,-6.488066574
0.00333,0,31,-29.98856271,100.0726862,-6.48881412
0.00333,0,32,-29.98885467,100.06967,-6.444220239
0.00333,0,33,-29.98914664,100.0666538,-6.444220239
0.00333,0,34,-29.9894386,100.0636376,-6.433784552
0.00333,0,35,-29.98973057,100.0606214,-6.432182862
0.00333,0,36,-29.99002253,100.0576052,-6.432295418
0.00333,0,37,-29.9903145,100.054589,-6.437748209
0.00333,0,38,-29.99060646,100.0515728,-6.440362956
0.00333,0,39,-29.99089843,100.0485566,-6.44102744
0.00333,0,40,-29.9911904,100.0455404,-6.44102744
0.00333,0,41,-29.99148236,100.0425242,-6.443090283
0.00333,0,42,-29.99177433,100.039508,-6.443519921
0.00333,0,43,-29.99206629,100.0364918,-6.466169582
0.00333,0,44,-29.99235826,100.0334756,-6.46565705
0.00333,0,45,-29.99265022,100.0304594,-6.464909236
0.00333,0,46,-29.99294219,100.0274432,-6.460857832
0.00333,0,47,-29.99323415,100.0244269,-6.458971245
0.00333,0,48,-29.99352612,100.0214107,-6.457455357
0.00333,0,49,-29.99381808,100.0183945,-6.454037184
0.00333,0,50,-29.99411005,100.0153783,-6.440464088
0.00333,0,51,-29.99440201,100.0123621,-6.438914917
0.00333,0,52,-29.99469398,100.0093459,-6.438402112
0.00333,0,53,-29.99498594,100.0063297,-6.438402112
0.00333,0,54,-29.99527791,100.0033135,-6.437269757
0.00333,0,55,-29.99556988,100.0002973,-6.436769723
0.00333,0,56,-29.99586184,99.9972811,-6.436908529
0.00333,0,57,-29.99615381,99.9942649,-6.436419036
0.00333,0,58,-29.99644577,99.99124869,-6.436419036
0.00333,0,59,-29.99673774,99.98823249,-6.439340278
0.00333,0,60,-29.9970297,99.98521628,-6.44210547
0.00333,0,61,-29.99732167,99.98220008,-6.443730139
0.00333,0,62,-29.99761363,99.97918387,-6.444634008
0.00333,0,63,-29.9979056,99.97616767,-6.445525234
0.00333,0,64,-29.99819756,99.97315146,-6.44528252
0.00333,0,65,-29.99848953,99.97013526,-6.445690602
0.00333,0,66,-29.99878149,99.96711905,-6.445672884
0.00333,0,67,-29.99907346,99.96410285,-6.445975442
0.00333,0,68,-29.99936543,99.96108664,-6.446919937
0.00333,0,69,-29.99965739,99.95807044,-6.447931886
0.00333,0,70,-29.99994936,99.95505423,-6.446489443
0.00333,0,71,-30.00024132,99.95203803,-6.419912437
0.00333,0,72,-30.00053329,99.94902182,-6.419912437
0.00333,0,73,-30.00082525,99.94600561,-6.420037988
0.00333,0,74,-30.00111722,99.94298941,-6.415413206
0.00333,0,75,-30.00140918,99.9399732,-6.41140814
0.00333,0,76,-30.00170115,99.936957,-6.41140814
0.00333,0,77,-30.00199311,99.93394079,-6.415104935
0.00333,0,78,-30.00228508,99.93092459,-6.417915101
